STT,long,lat
1,103.64558880,22.79058570
2,103.64564630,22.79052910
3,103.64579200,22.79036750
4,103.64621850,22.78995080
5,103.64627350,22.78990720
6,103.64634460,22.78988160
7,103.64646530,22.78987540
8,103.64707160,22.78991050
9,103.64736920,22.78991750
10,103.64752870,22.78993600
11,103.64765080,22.78999530
12,103.64785880,22.79016560
13,103.64800080,22.79029830
14,103.64808390,22.79035450
15,103.64817310,22.79037860
16,103.64841460,22.79039600
17,103.64859090,22.79042750
18,103.64880950,22.79048490
19,103.64890870,22.79048860
20,103.64901600,22.79043300
21,103.64966110,22.78996930
22,103.64973360,22.78988030
23,103.64975890,22.78976660
24,103.64974640,22.78968340
25,103.64968120,22.78954530
26,103.64946060,22.78914490
27,103.64944110,22.78903960
28,103.64945590,22.78897030
29,103.64950680,22.78889370
30,103.64960480,22.78883800
31,103.64974970,22.78881710
32,103.64980520,22.78883170
33,103.64990510,22.78885790
34,103.65020290,22.78904330
35,103.65057040,22.78926340
36,103.65066020,22.78930790
37,103.65074870,22.78931650
38,103.65083320,22.78931060
39,103.65094850,22.78926460
40,103.65122350,22.78906800
41,103.65131330,22.78893330
42,103.65146220,22.78866000
43,103.65153130,22.78856790
44,103.65159230,22.78850120
45,103.65167140,22.78846400
46,103.65176530,22.78845720
47,103.65190470,22.78850050
48,103.65202010,22.78859810
49,103.65211000,22.78872180
50,103.65215020,22.78881580
51,103.65215730,22.78887490
52,103.65215820,22.78897530
53,103.65213010,22.78906060
54,103.65207110,22.78913480
55,103.65185380,22.78944880
56,103.65167330,22.78980390
57,103.65165130,22.78988900
58,103.65164320,22.78994220
59,103.65165130,22.78999160
60,103.65167270,22.79004480
61,103.65170490,22.79009300
62,103.65173980,22.79012890
63,103.65178410,22.79016350
64,103.65183900,22.79019190
65,103.65190880,22.79021050
66,103.65204020,22.79022040
67,103.65210060,22.79022780
68,103.65217160,22.79024880
69,103.65233390,22.79030320
70,103.65240370,22.79032170
71,103.65270000,22.79034890
72,103.65300310,22.79039220
73,103.65310240,22.79040210
74,103.65336660,22.79041080
75,103.65352760,22.79041100
76,103.65360800,22.79040460
77,103.65369510,22.79037990
78,103.65377830,22.79034520
79,103.65389500,22.79027720
80,103.65452800,22.78987660
81,103.65473450,22.78975300
82,103.65494370,22.78966150
83,103.65508590,22.78960710
84,103.65523870,22.78956010
85,103.65540770,22.78953790
86,103.65570810,22.78951310
87,103.65583690,22.78949090
88,103.65600590,22.78944390
89,103.65623120,22.78936970
90,103.65634380,22.78931780
91,103.65646720,22.78924610
92,103.65667910,22.78907050
93,103.65678640,22.78899140
94,103.65689370,22.78893200
95,103.65705460,22.78887270
96,103.65756150,22.78874660
97,103.65767690,22.78870950
98,103.65776540,22.78867240
99,103.65787000,22.78860560
100,103.65794780,22.78856110
101,103.65804970,22.78853390
102,103.65825620,22.78849680
103,103.65851640,22.78845720
104,103.65859040,22.78843090
105,103.65865590,22.78839050
106,103.65886240,22.78824700
107,103.65911990,22.78808380
108,103.65931840,22.78796760
109,103.65963220,22.78781180
110,103.65971270,22.78776730
111,103.65979050,22.78769560
112,103.65992990,22.78757940
113,103.66001580,22.78752500
114,103.66032960,22.78737410
115,103.66039980,22.78731890
116,103.66047710,22.78723810
117,103.66084190,22.78676830
118,103.66091160,22.78668420
119,103.66095720,22.78661990
120,103.66098140,22.78656300
121,103.66101350,22.78650120
122,103.66106180,22.78644190
123,103.66113160,22.78637510
124,103.66131930,22.78621430
125,103.66141590,22.78612410
126,103.66148960,22.78606840
127,103.66160900,22.78599550
128,103.66166260,22.78595720
129,103.66171360,22.78591020
130,103.66176050,22.78586320
131,103.66180480,22.78581000
132,103.66203810,22.78547250
133,103.66209580,22.78540820
134,103.66215750,22.78536120
135,103.66226880,22.78529070
136,103.66241290,22.78519280
137,103.66245120,22.78515600
138,103.66249410,22.78510530
139,103.66252630,22.78504340
140,103.66255040,22.78498040
141,103.66265510,22.78457480
142,103.66267920,22.78444750
143,103.66268460,22.78436830
144,103.66268050,22.78431520
145,103.66267250,22.78427560
146,103.66265240,22.78423850
147,103.66261480,22.78419650
148,103.66247530,22.78405430
149,103.66242040,22.78398870
150,103.66240020,22.78395540
151,103.66239220,22.78392070
152,103.66239690,22.78388800
153,103.66241630,22.78385890
154,103.66245520,22.78381810
155,103.66252500,22.78377110
156,103.66259600,22.78373160
157,103.66279990,22.78365490
158,103.66284820,22.78362650
159,103.66289780,22.78358570
160,103.66294880,22.78352510
161,103.66298230,22.78346570
162,103.66301040,22.78340270
163,103.66304130,22.78331730
164,103.66317810,22.78288830
165,103.66319690,22.78281160
166,103.66321160,22.78273250
167,103.66322500,22.78263110
168,103.66322900,22.78256190
169,103.66322230,22.78244190
170,103.66322900,22.78240360
171,103.66324920,22.78235540
172,103.66327870,22.78231580
173,103.66336050,22.78223670
174,103.66341950,22.78216490
175,103.66346240,22.78210680
176,103.66349730,22.78204500
177,103.66353750,22.78195850
178,103.66359520,22.78182860
179,103.66371450,22.78154300
180,103.66425360,22.78037580
181,103.66445750,22.77988860
182,103.66452190,22.77971790
183,103.66459160,22.77950030
184,103.66462110,22.77937910
185,103.66458760,22.77924440
186,103.66426710,22.77880290
187,103.66420800,22.77863480
188,103.66419730,22.77840720
189,103.66426170,22.77809560
190,103.66432610,22.77781120
191,103.66436900,22.77770000
192,103.66448970,22.77746010
193,103.66451650,22.77737850
194,103.66454060,22.77728940
195,103.66454870,22.77716330
196,103.66455490,22.77686630
197,103.66450850,22.77528630
198,103.66452450,22.77493010
199,103.66455670,22.77474220
200,103.66462110,22.77451960
201,103.66468280,22.77438610
202,103.66496980,22.77382220
203,103.66505290,22.77363670
204,103.66508250,22.77352050
205,103.66508780,22.77343390
206,103.66507710,22.77332760
207,103.66507170,22.77323110
208,103.66507980,22.77315940
209,103.66513880,22.77294670
210,103.66513610,22.77288730
211,103.66512270,22.77284040
212,103.66509600,22.77279390
213,103.66478470,22.77238900
214,103.66499390,22.77225670
215,103.66511200,22.77212810
216,103.66519510,22.77200940
217,103.66523920,22.77192150
